source_es	ref_informal	cs	informal_lex	dialect	phonetic	density	ref_batua
y tu q tal	Zu zelan?	0.0	0.0	1.0	0.0	1	Zu zer moduz?
madreeeee q miedo... q estais haciendo???	Amaaaa ze bildurre...zertan zaizte???	0.0	1.0	1.0	1.0	3	nolako beldurra... zertan zabiltzate?
Me pasas el número?	Pasako zenbakia?	0.0	0.0	0.0	0.0	0	Bidaliko didazu zenbakia?
voy a llorar...	Near inbardet...	0.0	0.0	1.0	0.0	1	Negat egin behar dut
Ha sido muy interesanteeeee y las otras dos chicas también unas maqinasssssss!	Oso interesgarria izan daaa ta beste bi neskak baita makinaaas!	1.0	0.0	0.0	1.0	2	Oso interesgarria izan da eta beste bi neskak ere  apartak!
porq??	Zeatikkk??	0.0	0.0	1.0	1.0	2	Zergaitik?
ajjajaja ya ya tampoco tengo tan mal gusto jajajaj	Ajjajaja ya ya....  Eztakot hain gusto txarra jajajaj	1.0	0.0	1.0	1.0	3	Jajaja bai bai... Ez daukat horren gustu txarra jajaja
pero tengo la tentacion de quemar la memoria	Baño memoria suta botatzeko tenazioa sartze zait	0.0	0.0	1.0	1.0	2	Baina memoria sutara botatzeko tentazioa sartzen zait
con ganas de darle la vuelta	Buelta emateko gogoarekin	0.0	0.0	0.0	0.0	0	Buelta emateko gogoarekin
valee valee	Balebaaa	0.0	0.0	0.0	1.0	1	Ados
listo me he despertado jajajaja	Listo iratzarri naiz jajajaja	0.0	0.0	0.0	1.0	1	Kito esnatu naiz jajaja
buenooo... tus gustos...	Buenooo.... zure gustok...	1.0	0.0	1.0	1.0	3	zure gustuak...
q quieres encontrar a un friki de insta o q	Ze naizuu instako frikin bat aurkitzea?	0.0	0.0	1.0	1.0	2	Zer nahi duzu Instagrameko frikiren bat aurkitzea?
Si tu madre ha escrito en el grupo tranquila	Bai zure amak idatzi du taldean, lasai	0.0	0.0	0.0	0.0	0	lasai
euh si en septiembre	Euh bai irailean	0.0	1.0	0.0	0.0	1	irailean
feliz navidad  pati tb	egubarrion zeuretzako be	0.0	0.0	1.0	0.0	1	eguberri on zuretzako ere
Si acabo de llegar	Bai oaintxe iritsi naiz	0.0	0.0	0.0	0.0	0	Bai oraintxe hasi naiz
he estado en el gine esta mañana	Egon naiz ginekologoan goizean	0.0	0.0	0.0	0.0	0	Egon naiz ginekologoarenean goizean
solo te faltan las castañas	Gaztañak bakarrik faltazaizkizu	0.0	0.0	0.0	0.0	0	Gaztainak besterik ez zaizkizu falta
estoy en l mosku ven	Moskun nago torri	0.0	0.0	0.0	0.0	0	Moskun nago etorri
ahaha nooo si no ya te habria invitado hace tiempo! es la casa de la abuela de una amiga en senpere jaja	Ahaha ez bestenaz aspaldi gomitatuko zintudan! lagun baten amatxiren etxea Senperen haha	0.0	0.0	1.0	1.0	2	Sepneren jaja
q a veces! solo a veces tienes gustos un poco raros eh	Batzutaan! batzutan bakarrik gusto arraroa xamarrak dauzkezula!	0.0	0.0	1.0	1.0	2	Batzuetan! Batzuetan bakarrik gustu arraro samarrak dituzula!
y espero q d aqi en adelante mejor	Ta espero dut hemendik aurrera hobe egotea	0.0	0.0	0.0	1.0	1	Eta espero dut hemendik aurrera hobeto egotea
tu pq ??	Zuk zeba ??	0.0	0.0	1.0	1.0	2	Zuk zergatik?
no t pasesssss	ez pasaa	1.0	0.0	0.0	1.0	2	Ez dut gogoratzen ezer bidali zenidanik
txomai de momento sola	Txomai bakarrio oaingoz	0.0	0.0	1.0	0.0	1	Txomai bakarrik oraingoz
tio araan entre esto y los bertsos de tu abu me emociono mogollon!!	Tioo araan hau ta zure aitonan bertsokin mordoa emozionatzen naiz!??	1.0	0.0	1.0	1.0	3	Aizu Aran honekin eta zure aitonaren bertsoekin mordoa emozionatzen naiz!
noseeeee	Ezdakittttt	0.0	0.0	0.0	1.0	1	Ez dakit
has terminao todo y tal no?	Amaitzu Dana eta olan ezta?	0.0	0.0	1.0	1.0	2	ez da?
Tienes los horarios en la pagina web!	Ordutegiak web orrialdean dituzu!	0.0	0.0	0.0	0.0	0	Ordutegiak web orrialdean dituzu!
solo habia vino	Ardoa bakarrik zeon	0.0	0.0	1.0	0.0	1	Ardoa bakarrik zegoen
en septiembre no estas ahiiiii?	Irailean ez zira hooor?	0.0	0.0	1.0	1.0	2	Irailean ez zara hor izango?
como lo sabeees?? yo tengo turno  luego a las 9 ehh	Zelan dakizu!!? nik gero 9tan dakot turnue	1.0	0.0	1.0	1.0	3	Nola dakizu? Nik gero 9etan daukat txanda
Los de la koadrilla y mi madre y tb me lo dicen	Kuadillakok ta amaak ta ebai esateyatee	0.0	0.0	1.0	0.0	1	Kuadillakoek eta amak ere esaten didate
Hoy tienes curro???	Gaur lana duzu????	0.0	0.0	0.0	1.0	1	Gaur lana duzu?
eii menos con ane	Eii menos anetxokin	1.0	0.0	1.0	1.0	3	Anetxorekin izan ezik
no te qda naaaa	Eztatzu lotzien ezebez!!	0.0	0.0	1.0	1.0	2	Ez zaizu ezer geratzen!
seguro vuelvo pronto para tratarlo	Seguraski laister itzuliko naiz tratatzeko	0.0	0.0	0.0	0.0	0	Ziur aski laster itzuliko naiz tratatzeko
Jode pues estupendo	Jode ba primeran	1.0	0.0	0.0	0.0	1	ba primeran
te queda mucho	Asko falta datzu?	0.0	0.0	1.0	0.0	1	Asko geratzen zaizu?
pero nadie se da cuenta	Baino io ezta kontura	0.0	0.0	1.0	0.0	1	Baina inor ez da konturatu
de momento nadie	Oaingoz inor	0.0	0.0	1.0	0.0	1	Oraingoz inor
He estado cerca	Gertu ibili naiz	0.0	0.0	0.0	0.0	0	Gertu ibili naiz
tuve una reunion y luego pues aprovechando el dia	reuniño bat izin nauen da gero ba egune aprobetxetan	1.0	0.0	0.0	0.0	1	bilera bat izan nuen eta gero eguna aprobetxatzen
pero me parece un tipazo eh ajajajaj	Baño kriston tipo earra iruitzezait ajajajajaja	0.0	1.0	1.0	1.0	3	Baina oso mutil ederra dela iruditzen zait jajaja
hay mas gafes que Helene	Helene baño gafegook exixtitzen diela	1.0	0.0	1.0	1.0	3	Helene baino balbe txarragoa dakarrenik badago
conseguidooo	Lortu duuut	0.0	0.0	0.0	1.0	1	Lortu dut
Lejillos de aqui... jajaja	Hemendik urruti xamar...jaajja	0.0	0.0	0.0	1.0	1	Hemendik urruti samar... jajaja
ostiiis....	Ostiiis....	0.0	1.0	0.0	1.0	2	Ene...
anda ya pelmada!! Lo de mañana es gratis?	Bai zera pelmada!! Doan da biharkoa?	1.0	0.0	0.0	1.0	2	Bai zera alamena! Doan da biharkoa?
ei a londres otra vez?? joe q bien viven algunos	E Londresera berriro??joe q bien viven algunos	1.0	0.0	0.0	1.0	2	zein ondo bizi diren batzuk
ahora estudiare un poco	Orain ikasikout pixkat	0.0	1.0	1.0	0.0	2	Orain ikasi egingo dut pixka bat
entonces yo encimaa	Ordun neu goidxen	0.0	0.0	1.0	0.0	1	ni goian
ahi tirando	Ni hay tirando	1.0	0.0	0.0	0.0	1	bizirauten
tenemos q hacer asi	Haulan inbidu	0.0	0.0	1.0	0.0	1	Horrela egin behar dugu
y pa presentarme?	Ta presentatzeko?	0.0	0.0	0.0	0.0	0	Eta aurkezteko?
ahora voy a comer y luego siestita y libre	Nik orain bazkalduko dut ta gero siesta pixkat ta libreee	0.0	1.0	1.0	1.0	3	Nik orain bazkaldu egingo dut eta gero siesta pixka bat egin eta libre
pacienciaaaaaaaa	Pazientziiaaaaaaaa	0.0	0.0	0.0	1.0	1	Pazientzia
Laidaaaa me he acordao ahoraaaaaaa no os avise pa la mañana? Perdona si habeis estao esperando!!	Laidaaaa oain goatu naizzzzzz enizuen abixatu goizeakooo? Barkatu itxoiten eon bazeate!!	0.0	0.0	1.0	1.0	2	Laida orain gogoratu naiz ez nizuen abisatu goizerako? Barkatu zain egon bazarete!
n el fronton? qieres q llore delante d todos?	Frontoion? Ze naizu danan aurren near ittea?	0.0	0.0	1.0	0.0	1	Frontoian? Zer nahi duzu denen aurrean negar egitea?
e po has visto q hay q hacer para participar en el sorteo?	E baina zozketan parte hartzeko ikusi duzu zer in behar den?	0.0	0.0	1.0	1.0	2	baina zozketan parte hartzeko ikusi duzu zer egin behar den?
yaaa jajajaj ya te dije	Yaaa jajajaj esantzutenn	1.0	0.0	1.0	1.0	3	esan nizun
mejor n l fronton	Hobeto frontoien	0.0	0.0	1.0	0.0	1	Hobeto frontoian
le preguntaba algo y me trataba como si fuera tonta	Galdetzen nion zerbait ta hartzen ninduen tonto batentzat	1.0	1.0	0.0	0.0	2	Galdetzen nion zerbait eta hartzen ninduen tontotzat
jajajajajaja habia visto el video entero	Jajajajajajajjaa ikusia nuen bideo osoa	0.0	0.0	0.0	1.0	1	Jajaja ikusia nuen bideo osoa
y lueg libre	Ta y'a gero libre	1.0	0.0	0.0	0.0	1	Eta gero jada libre
hablamos luego vale pero me alegro un monton q estes mejor	eingogu berba baie pozten naz hobeto zauzelako	0.0	0.0	1.0	0.0	1	hitz egingo dugu baina pozten naiz hobeto egoteaz
es q cenamos en una residencia de mayores	Eske zahar egoitza batian afaldu genun	1.0	0.0	1.0	0.0	2	Zahar egoitza batean afaldu genuen
bastante mal	Nahiko gaizki	0.0	0.0	0.0	0.0	0	Nahiko gaizki
si me han hablado de ti mas de una vez y me han dicho q eres muy muy buena amiga tambien	Bai, ein dosten berba zuri buruz baten baino geidxautan eta lagun oso ona zarala be bai esan dosten	0.0	0.0	1.0	0.0	1	zutaz hitz egin zidan behin baino gehiagotan eta oso lagun ona zarela ere esan zidan
los guapos siempre guapos	Guapuek beti guapo	0.0	0.0	1.0	0.0	1	Guapoak beti guapo
haaaaa genial!!!!	Haaaaa! Bikain!!!!	0.0	0.0	0.0	1.0	1	Ene! Bikain!
me las traes o que??	Ekartzenbaizkiazu?	0.0	0.0	1.0	0.0	1	Ekartzen badizkidazu?
que ilusion tu mensaje! Muchas gracias! Y nos tenemos que hacer esa foto antes de que acabe el verano! Iujuuu!	Ze ilusioa zure mezuak! Mila esker! Eta argazki hori atera behar dugu uda amaitzeako! Aupa!	0.0	1.0	0.0	0.0	1	Ze ilusioa zure mezuak! Mila esker! Eta argazki hori atera behar dugu uda amaitzerako! Aupa!
jajajaj q tal estuvo?? bien?	Jajajajaja zelan eegon da? Politxo?	0.0	0.0	1.0	1.0	2	Jajaja nola joan da? Polit?
